year,energy_source,energy_type,energy_source_consumption
1965,biofuel_consumption,low_carbon_consumption,0
1965,coal_consumption,fossil_fuel_consumption,16140.191
1965,gas_consumption,fossil_fuel_consumption,6303.804
1965,hydro_consumption,low_carbon_consumption,2564.441
1965,nuclear_consumption,low_carbon_consumption,70.944
1965,oil_consumption,fossil_fuel_consumption,18108.643
1965,other_renewable_consumption,low_carbon_consumption,49.959
1965,solar_consumption,low_carbon_consumption,0
1965,wind_consumption,low_carbon_consumption,0
1966,biofuel_consumption,low_carbon_consumption,0
1966,coal_consumption,fossil_fuel_consumption,16324.107
1966,gas_consumption,fossil_fuel_consumption,6868.8
1966,hydro_consumption,low_carbon_consumption,2732.827
1966,nuclear_consumption,low_carbon_consumption,95.648
1966,oil_consumption,fossil_fuel_consumption,19496.471
1966,other_renewable_consumption,low_carbon_consumption,55.017
1966,solar_consumption,low_carbon_consumption,0
1966,wind_consumption,low_carbon_consumption,0
1967,biofuel_consumption,low_carbon_consumption,0
1967,coal_consumption,fossil_fuel_consumption,16060.823
1967,gas_consumption,fossil_fuel_consumption,7374.045
1967,hydro_consumption,low_carbon_consumption,2793.732
1967,nuclear_consumption,low_carbon_consumption,113.906
1967,oil_consumption,fossil_fuel_consumption,20890.58
1967,other_renewable_consumption,low_carbon_consumption,55.518
1967,solar_consumption,low_carbon_consumption,0
1967,wind_consumption,low_carbon_consumption,0
1968,biofuel_consumption,low_carbon_consumption,0
1968,coal_consumption,fossil_fuel_consumption,16301.16
1968,gas_consumption,fossil_fuel_consumption,8044.338
1968,hydro_consumption,low_carbon_consumption,2942.472
1968,nuclear_consumption,low_carbon_consumption,144.759
1968,oil_consumption,fossil_fuel_consumption,22675.466
1968,other_renewable_consumption,low_carbon_consumption,61.445
1968,solar_consumption,low_carbon_consumption,0
1968,wind_consumption,low_carbon_consumption,0
1969,biofuel_consumption,low_carbon_consumption,0
1969,coal_consumption,fossil_fuel_consumption,16798.749
1969,gas_consumption,fossil_fuel_consumption,8833.425
1969,hydro_consumption,low_carbon_consumption,3115.956
1969,nuclear_consumption,low_carbon_consumption,171.621
1969,oil_consumption,fossil_fuel_consumption,24576.884
1969,other_renewable_consumption,low_carbon_consumption,64.606
1969,solar_consumption,low_carbon_consumption,0
1969,wind_consumption,low_carbon_consumption,0
1970,biofuel_consumption,low_carbon_consumption,0
1970,coal_consumption,fossil_fuel_consumption,17058.622
1970,gas_consumption,fossil_fuel_consumption,9614.799
1970,hydro_consumption,low_carbon_consumption,3262.913
1970,nuclear_consumption,low_carbon_consumption,219.096
1970,oil_consumption,fossil_fuel_consumption,26708.063
1970,other_renewable_consumption,low_carbon_consumption,71.37
1970,solar_consumption,low_carbon_consumption,0
1970,wind_consumption,low_carbon_consumption,0
1971,biofuel_consumption,low_carbon_consumption,0
1971,coal_consumption,fossil_fuel_consumption,16965.973
1971,gas_consumption,fossil_fuel_consumption,10292.201
1971,hydro_consumption,low_carbon_consumption,3408.517
1971,nuclear_consumption,low_carbon_consumption,304.734
1971,oil_consumption,fossil_fuel_consumption,28204.844
1971,other_renewable_consumption,low_carbon_consumption,77.442
1971,solar_consumption,low_carbon_consumption,0
1971,wind_consumption,low_carbon_consumption,0
1972,biofuel_consumption,low_carbon_consumption,0
1972,coal_consumption,fossil_fuel_consumption,17154.346
1972,gas_consumption,fossil_fuel_consumption,10861.368
1972,hydro_consumption,low_carbon_consumption,3568.421
1972,nuclear_consumption,low_carbon_consumption,422.709
1972,oil_consumption,fossil_fuel_consumption,30377.966
1972,other_renewable_consumption,low_carbon_consumption,82.992
1972,solar_consumption,low_carbon_consumption,0
1972,wind_consumption,low_carbon_consumption,0
1973,biofuel_consumption,low_carbon_consumption,0
1973,coal_consumption,fossil_fuel_consumption,17667.864
1973,gas_consumption,fossil_fuel_consumption,11376.729
1973,hydro_consumption,low_carbon_consumption,3619.474
1973,nuclear_consumption,low_carbon_consumption,566.394
1973,oil_consumption,fossil_fuel_consumption,32746.14
1973,other_renewable_consumption,low_carbon_consumption,89.125
1973,solar_consumption,low_carbon_consumption,0
1973,wind_consumption,low_carbon_consumption,0
1974,biofuel_consumption,low_carbon_consumption,0
1974,coal_consumption,fossil_fuel_consumption,17682.065
1974,gas_consumption,fossil_fuel_consumption,11656.257
1974,hydro_consumption,low_carbon_consumption,3975.739
1974,nuclear_consumption,low_carbon_consumption,740.556
1974,oil_consumption,fossil_fuel_consumption,32272.443
1974,other_renewable_consumption,low_carbon_consumption,94.33
1974,solar_consumption,low_carbon_consumption,0
1974,wind_consumption,low_carbon_consumption,0
1975,biofuel_consumption,low_carbon_consumption,0
1975,coal_consumption,fossil_fuel_consumption,18024.552
1975,gas_consumption,fossil_fuel_consumption,11661.084
1975,hydro_consumption,low_carbon_consumption,4024.697
1975,nuclear_consumption,low_carbon_consumption,1027.357
1975,oil_consumption,fossil_fuel_consumption,31948.433
1975,other_renewable_consumption,low_carbon_consumption,95.788
1975,solar_consumption,low_carbon_consumption,0
1975,wind_consumption,low_carbon_consumption,0
1976,biofuel_consumption,low_carbon_consumption,0
1976,coal_consumption,fossil_fuel_consumption,18688.5
1976,gas_consumption,fossil_fuel_consumption,12355.072
1976,hydro_consumption,low_carbon_consumption,4008.711
1976,nuclear_consumption,low_carbon_consumption,1201.866
1976,oil_consumption,fossil_fuel_consumption,34029.701
1976,other_renewable_consumption,low_carbon_consumption,106.836
1976,solar_consumption,low_carbon_consumption,0
1976,wind_consumption,low_carbon_consumption,0
1977,biofuel_consumption,low_carbon_consumption,0
1977,coal_consumption,fossil_fuel_consumption,19241.309
1977,gas_consumption,fossil_fuel_consumption,12760.638
1977,hydro_consumption,low_carbon_consumption,4143.536
1977,nuclear_consumption,low_carbon_consumption,1495.967
1977,oil_consumption,fossil_fuel_consumption,35214.625
1977,other_renewable_consumption,low_carbon_consumption,112.674
1977,solar_consumption,low_carbon_consumption,0
1977,wind_consumption,low_carbon_consumption,0
1978,biofuel_consumption,low_carbon_consumption,0
1978,coal_consumption,fossil_fuel_consumption,19457.913
1978,gas_consumption,fossil_fuel_consumption,13295.429
1978,hydro_consumption,low_carbon_consumption,4484.414
1978,nuclear_consumption,low_carbon_consumption,1738.319
1978,oil_consumption,fossil_fuel_consumption,36425.795
1978,other_renewable_consumption,low_carbon_consumption,119.354
1978,solar_consumption,low_carbon_consumption,0
1978,wind_consumption,low_carbon_consumption,0.008
1979,biofuel_consumption,low_carbon_consumption,0
1979,coal_consumption,fossil_fuel_consumption,20363.547
1979,gas_consumption,fossil_fuel_consumption,14119.884
1979,hydro_consumption,low_carbon_consumption,4708.863
1979,nuclear_consumption,low_carbon_consumption,1807.946
1979,oil_consumption,fossil_fuel_consumption,37024.093
1979,other_renewable_consumption,low_carbon_consumption,128.248
1979,solar_consumption,low_carbon_consumption,0
1979,wind_consumption,low_carbon_consumption,0.017
1980,biofuel_consumption,low_carbon_consumption,0
1980,coal_consumption,fossil_fuel_consumption,20857.619
1980,gas_consumption,fossil_fuel_consumption,14237.999
1980,hydro_consumption,low_carbon_consumption,4810.15
1980,nuclear_consumption,low_carbon_consumption,1977.569
1980,oil_consumption,fossil_fuel_consumption,35577.233
1980,other_renewable_consumption,low_carbon_consumption,137.182
1980,solar_consumption,low_carbon_consumption,0
1980,wind_consumption,low_carbon_consumption,0.029
1981,biofuel_consumption,low_carbon_consumption,0
1981,coal_consumption,fossil_fuel_consumption,21149.69
1981,gas_consumption,fossil_fuel_consumption,14395.129
1981,hydro_consumption,low_carbon_consumption,4913.625
1981,nuclear_consumption,low_carbon_consumption,2335.421
1981,oil_consumption,fossil_fuel_consumption,34295.875
1981,other_renewable_consumption,low_carbon_consumption,147.652
1981,solar_consumption,low_carbon_consumption,0
1981,wind_consumption,low_carbon_consumption,0.029
1982,biofuel_consumption,low_carbon_consumption,0
1982,coal_consumption,fossil_fuel_consumption,21384.44
1982,gas_consumption,fossil_fuel_consumption,14468.777
1982,hydro_consumption,low_carbon_consumption,5002.529
1982,nuclear_consumption,low_carbon_consumption,2533.829
1982,oil_consumption,fossil_fuel_consumption,33197.934
1982,other_renewable_consumption,low_carbon_consumption,170.474
1982,solar_consumption,low_carbon_consumption,0
1982,wind_consumption,low_carbon_consumption,0.051
1983,biofuel_consumption,low_carbon_consumption,0
1983,coal_consumption,fossil_fuel_consumption,22045.022
1983,gas_consumption,fossil_fuel_consumption,14702.803
1983,hydro_consumption,low_carbon_consumption,5216.03
1983,nuclear_consumption,low_carbon_consumption,2871.704
1983,oil_consumption,fossil_fuel_consumption,32968.737
1983,other_renewable_consumption,low_carbon_consumption,188.939
1983,solar_consumption,low_carbon_consumption,0.008
1983,wind_consumption,low_carbon_consumption,0.091
1984,biofuel_consumption,low_carbon_consumption,0
1984,coal_consumption,fossil_fuel_consumption,22999.527
1984,gas_consumption,fossil_fuel_consumption,15901.561
1984,hydro_consumption,low_carbon_consumption,5392.714
1984,nuclear_consumption,low_carbon_consumption,3484.915
1984,oil_consumption,fossil_fuel_consumption,33738.791
1984,other_renewable_consumption,low_carbon_consumption,211.137
1984,solar_consumption,low_carbon_consumption,0.018
