Item,Unit,year,production
"Cereals, Total",tonnes,1961,876.874525
"Cereals, Total",tonnes,1962,933.372951
"Cereals, Total",tonnes,1963,949.345889
"Cereals, Total",tonnes,1964,1001.214053
"Cereals, Total",tonnes,1965,998.593015
"Cereals, Total",tonnes,1966,1078.340182
"Cereals, Total",tonnes,1967,1124.081325
"Cereals, Total",tonnes,1968,1160.679028
"Cereals, Total",tonnes,1969,1170.998781
"Cereals, Total",tonnes,1970,1192.507686
"Cereals, Total",tonnes,1971,1299.667694
"Cereals, Total",tonnes,1972,1258.478723
"Cereals, Total",tonnes,1973,1357.015158
"Cereals, Total",tonnes,1974,1326.549451
"Cereals, Total",tonnes,1975,1359.804032
"Cereals, Total",tonnes,1976,1463.711084
"Cereals, Total",tonnes,1977,1456.344202
"Cereals, Total",tonnes,1978,1582.019615
"Cereals, Total",tonnes,1979,1537.501608
"Cereals, Total",tonnes,1980,1549.912169
"Cereals, Total",tonnes,1981,1632.382038
"Cereals, Total",tonnes,1982,1692.539888
"Cereals, Total",tonnes,1983,1626.946262
"Cereals, Total",tonnes,1984,1786.795488
"Cereals, Total",tonnes,1985,1821.240879
"Cereals, Total",tonnes,1986,1834.022448
"Cereals, Total",tonnes,1987,1771.529037
"Cereals, Total",tonnes,1988,1727.627559
"Cereals, Total",tonnes,1989,1871.355619
"Cereals, Total",tonnes,1990,1951.724102
"Cereals, Total",tonnes,1991,1890.391252
"Cereals, Total",tonnes,1992,1973.500496
"Cereals, Total",tonnes,1993,1904.192038
"Cereals, Total",tonnes,1994,1953.889075
"Cereals, Total",tonnes,1995,1899.401998
"Cereals, Total",tonnes,1996,2061.25571
"Cereals, Total",tonnes,1997,2095.415393
"Cereals, Total",tonnes,1998,2085.475526
"Cereals, Total",tonnes,1999,2082.266262
"Cereals, Total",tonnes,2000,2058.541725
"Cereals, Total",tonnes,2001,2104.846582
"Cereals, Total",tonnes,2002,2053.763021
"Cereals, Total",tonnes,2003,2073.835918
"Cereals, Total",tonnes,2004,2285.578663
"Cereals, Total",tonnes,2005,2266.634527
"Cereals, Total",tonnes,2006,2255.532617
"Cereals, Total",tonnes,2007,2345.854508
"Cereals, Total",tonnes,2008,2519.336137
"Cereals, Total",tonnes,2009,2487.453769
"Cereals, Total",tonnes,2010,2461.509552
"Cereals, Total",tonnes,2011,2582.720778
"Cereals, Total",tonnes,2012,2556.062752
"Cereals, Total",tonnes,2013,2758.918973
"Cereals, Total",tonnes,2014,2809.72823
"Cereals, Total",tonnes,2015,2833.660085
"Cereals, Total",tonnes,2016,2912.616402
"Cereals, Total",tonnes,2017,2961.463847
"Cereals, Total",tonnes,2018,2906.51064
"Cereals, Total",tonnes,2019,2963.812987
"Cereals, Total",tonnes,2020,2996.142289
"Citrus Fruit, Total",tonnes,1961,25.065867
"Citrus Fruit, Total",tonnes,1962,25.787122
"Citrus Fruit, Total",tonnes,1963,25.810377
"Citrus Fruit, Total",tonnes,1964,26.608084
"Citrus Fruit, Total",tonnes,1965,29.193269
"Citrus Fruit, Total",tonnes,1966,32.502938
"Citrus Fruit, Total",tonnes,1967,35.703027
"Citrus Fruit, Total",tonnes,1968,34.892475
"Citrus Fruit, Total",tonnes,1969,38.518001
"Citrus Fruit, Total",tonnes,1970,39.618017
"Citrus Fruit, Total",tonnes,1971,42.076344
"Citrus Fruit, Total",tonnes,1972,45.015058
"Citrus Fruit, Total",tonnes,1973,48.515731
"Citrus Fruit, Total",tonnes,1974,49.680727
"Citrus Fruit, Total",tonnes,1975,51.482849
"Citrus Fruit, Total",tonnes,1976,52.544172
"Citrus Fruit, Total",tonnes,1977,53.851084
"Citrus Fruit, Total",tonnes,1978,53.496333
"Citrus Fruit, Total",tonnes,1979,55.338112
"Citrus Fruit, Total",tonnes,1980,61.133663
"Citrus Fruit, Total",tonnes,1981,61.410553
"Citrus Fruit, Total",tonnes,1982,60.596169
"Citrus Fruit, Total",tonnes,1983,64.819207
"Citrus Fruit, Total",tonnes,1984,60.196486
"Citrus Fruit, Total",tonnes,1985,64.258724
"Citrus Fruit, Total",tonnes,1986,66.880374
"Citrus Fruit, Total",tonnes,1987,70.505611
"Citrus Fruit, Total",tonnes,1988,72.156554
"Citrus Fruit, Total",tonnes,1989,79.473843
"Citrus Fruit, Total",tonnes,1990,77.53069
"Citrus Fruit, Total",tonnes,1991,82.384611
"Citrus Fruit, Total",tonnes,1992,85.114055
"Citrus Fruit, Total",tonnes,1993,88.387794
"Citrus Fruit, Total",tonnes,1994,87.943006
"Citrus Fruit, Total",tonnes,1995,93.371207
"Citrus Fruit, Total",tonnes,1996,96.154925
"Citrus Fruit, Total",tonnes,1997,105.471234
"Citrus Fruit, Total",tonnes,1998,99.970207
"Citrus Fruit, Total",tonnes,1999,104.36723
"Citrus Fruit, Total",tonnes,2000,106.021668
"Citrus Fruit, Total",tonnes,2001,105.522262
"Citrus Fruit, Total",tonnes,2002,108.015157
"Citrus Fruit, Total",tonnes,2003,106.929579
"Citrus Fruit, Total",tonnes,2004,113.795757
"Citrus Fruit, Total",tonnes,2005,111.794628
"Citrus Fruit, Total",tonnes,2006,117.514366
"Citrus Fruit, Total",tonnes,2007,119.872415
"Citrus Fruit, Total",tonnes,2008,125.89423
"Citrus Fruit, Total",tonnes,2009,126.916851
"Citrus Fruit, Total",tonnes,2010,129.229452
"Citrus Fruit, Total",tonnes,2011,134.062601
"Citrus Fruit, Total",tonnes,2012,134.131589
"Citrus Fruit, Total",tonnes,2013,138.540543
"Citrus Fruit, Total",tonnes,2014,140.630281
"Citrus Fruit, Total",tonnes,2015,144.872494
"Citrus Fruit, Total",tonnes,2016,145.314209
"Citrus Fruit, Total",tonnes,2017,146.500218
"Citrus Fruit, Total",tonnes,2018,150.588168
"Citrus Fruit, Total",tonnes,2019,157.747845
"Citrus Fruit, Total",tonnes,2020,158.490986
Eggs Primary,tonnes,1961,15.109357
Eggs Primary,tonnes,1962,15.474086
Eggs Primary,tonnes,1963,15.669983
Eggs Primary,tonnes,1964,16.350886
Eggs Primary,tonnes,1965,16.852007
Eggs Primary,tonnes,1966,17.303316
Eggs Primary,tonnes,1967,18.122436
Eggs Primary,tonnes,1968,18.616104
Eggs Primary,tonnes,1969,19.416074
Eggs Primary,tonnes,1970,20.352532
Eggs Primary,tonnes,1971,21.057006
Eggs Primary,tonnes,1972,21.709782
Eggs Primary,tonnes,1973,21.945552
Eggs Primary,tonnes,1974,22.519895000000002
Eggs Primary,tonnes,1975,23.227929
