year,population_total
1950,2.536431018
1951,2.584034227
1952,2.63086169
1953,2.677609061
1954,2.724846754
1955,2.773019915
1956,2.8224432540000004
1957,2.8733060580000003
1958,2.92568668
1959,2.979576147
1960,3.0349497149999998
1961,3.0918435129999997
1962,3.150420761
1963,3.211000946
1964,3.273978272
1965,3.3395835099999998
1966,3.407922631
1967,3.4787701039999996
1968,3.551599436
1969,3.625680965
1970,3.700437042
1971,3.77576003
1972,3.851650588
1973,3.9277805189999997
1974,4.003794178
1975,4.079480474
1976,4.154666827
1977,4.229505919
1978,4.304533599
1979,4.380506185
1980,4.458003466
1981,4.536996619
1982,4.617386526
1983,4.699569187
1984,4.784011517
1985,4.870921666
1986,4.960568
1987,5.052521998
1988,5.145425994
1989,5.237441434
1990,5.327231041000011
1991,5.414289383000001
1992,5.498919893
1993,5.581597598
1994,5.663150428000001
1995,5.74421293
1996,5.8248919310000105
1997,5.905045647
1998,5.984794075
1999,6.06423903300001
2000,6.1434938059999995
2001,6.222626531
2002,6.30177317199999
2003,6.381185141
2004,6.461159391
2005,6.541906956
2006,6.623517917
2007,6.705946643
2008,6.789088672
2009,6.8727669879999995
2010,6.956823588000001
2011,7.04119416799999
2012,7.125827957
2013,7.210582041
2014,7.295290758999999
2015,7.379796967
2016,7.464021934000001
2017,7.5478589000000005
2018,7.631091113
2019,7.7134682050000105
2020,7.794798729
